,Movie Title,Year,Content Rating,Budget,Gross_Income,Director,IMDB Score
0,Avatar ,2009,PG-13,"$237,000,000.00","$760,505,847.00",James Cameron,7.9
1,Pirates of the Caribbean: At World's End ,2007,PG-13,"$300,000,000.00","$309,404,152.00",Gore Verbinski,7.1
3,The Dark Knight Rises ,2012,PG-13,"$250,000,000.00","$448,130,642.00",Christopher Nolan,8.5
5,John Carter ,2012,PG-13,"$263,700,000.00","$73,058,679.00",Andrew Stanton,6.6
6,Spider-Man 3 ,2007,PG-13,"$258,000,000.00","$336,530,303.00",Sam Raimi,6.2
7,Tangled ,2010,PG,"$260,000,000.00","$200,807,262.00",Nathan Greno,7.8
8,Avengers: Age of Ultron ,2015,PG-13,"$250,000,000.00","$458,991,599.00",Joss Whedon,7.5
10,Batman v Superman: Dawn of Justice ,2016,PG-13,"$250,000,000.00","$330,249,062.00",Zack Snyder,6.9
11,Superman Returns ,2006,PG-13,"$209,000,000.00","$200,069,408.00",Bryan Singer,6.1
13,Pirates of the Caribbean: Dead Man's Chest ,2006,PG-13,"$225,000,000.00","$423,032,628.00",Gore Verbinski,7.3
14,The Lone Ranger ,2013,PG-13,"$215,000,000.00","$89,289,910.00",Gore Verbinski,6.5
15,Man of Steel ,2013,PG-13,"$225,000,000.00","$291,021,565.00",Zack Snyder,7.2
16,The Chronicles of Narnia: Prince Caspian ,2008,PG,"$225,000,000.00","$141,614,023.00",Andrew Adamson,6.6
17,The Avengers ,2012,PG-13,"$220,000,000.00","$623,279,547.00",Joss Whedon,8.1
18,Pirates of the Caribbean: On Stranger Tides ,2011,PG-13,"$250,000,000.00","$241,063,875.00",Rob Marshall,6.7
19,Men in Black 3 ,2012,PG-13,"$225,000,000.00","$179,020,854.00",Barry Sonnenfeld,6.8
21,The Amazing Spider-Man ,2012,PG-13,"$230,000,000.00","$262,030,663.00",Marc Webb,7.0
22,Robin Hood ,2010,PG-13,"$200,000,000.00","$105,219,735.00",Ridley Scott,6.7
23,The Hobbit: The Desolation of Smaug ,2013,PG-13,"$225,000,000.00","$258,355,354.00",Peter Jackson,7.9
24,The Golden Compass ,2007,PG-13,"$180,000,000.00","$70,083,519.00",Chris Weitz,6.1
26,Titanic ,1997,PG-13,"$200,000,000.00","$658,672,302.00",James Cameron,7.7
27,Captain America: Civil War ,2016,PG-13,"$250,000,000.00","$407,197,282.00",Anthony Russo,8.2
28,Battleship ,2012,PG-13,"$209,000,000.00","$65,173,160.00",Peter Berg,5.9
29,Jurassic World ,2015,PG-13,"$150,000,000.00","$652,177,271.00",Colin Trevorrow,7.0
31,Spider-Man 2 ,2004,PG-13,"$200,000,000.00","$373,377,893.00",Sam Raimi,7.3
32,Iron Man 3 ,2013,PG-13,"$200,000,000.00","$408,992,272.00",Shane Black,7.2
33,Alice in Wonderland ,2010,PG,"$200,000,000.00","$334,185,206.00",Tim Burton,6.5
35,Monsters University ,2013,G,"$200,000,000.00","$268,488,329.00",Dan Scanlon,7.3
36,Transformers: Revenge of the Fallen ,2009,PG-13,"$200,000,000.00","$402,076,689.00",Michael Bay,6.0
37,Transformers: Age of Extinction ,2014,PG-13,"$210,000,000.00","$245,428,137.00",Michael Bay,5.7
38,Oz the Great and Powerful ,2013,PG,"$215,000,000.00","$234,903,076.00",Sam Raimi,6.4
39,The Amazing Spider-Man 2 ,2014,PG-13,"$200,000,000.00","$202,853,933.00",Marc Webb,6.7
40,TRON: Legacy ,2010,PG,"$170,000,000.00","$172,051,787.00",Joseph Kosinski,6.8
41,Cars 2 ,2011,G,"$200,000,000.00","$191,450,875.00",John Lasseter,6.3
42,Green Lantern ,2011,PG-13,"$200,000,000.00","$116,593,191.00",Martin Campbell,5.6
43,Toy Story 3 ,2010,G,"$200,000,000.00","$414,984,497.00",Lee Unkrich,8.3
44,Terminator Salvation ,2009,PG-13,"$200,000,000.00","$125,320,003.00",McG,6.6
45,Furious 7 ,2015,PG-13,"$190,000,000.00","$350,034,110.00",James Wan,7.2
46,World War Z ,2013,PG-13,"$190,000,000.00","$202,351,611.00",Marc Forster,7.0
47,X-Men: Days of Future Past ,2014,PG-13,"$200,000,000.00","$233,914,986.00",Bryan Singer,8.0
48,Star Trek Into Darkness ,2013,PG-13,"$190,000,000.00","$228,756,232.00",J.J. Abrams,7.8
49,Jack the Giant Slayer ,2013,PG-13,"$195,000,000.00","$65,171,860.00",Bryan Singer,6.3
51,Prince of Persia: The Sands of Time ,2010,PG-13,"$200,000,000.00","$90,755,643.00",Mike Newell,6.6
52,Pacific Rim ,2013,PG-13,"$190,000,000.00","$101,785,482.00",Guillermo del Toro,7.0
53,Transformers: Dark of the Moon ,2011,PG-13,"$195,000,000.00","$352,358,779.00",Michael Bay,6.3
54,Indiana Jones and the Kingdom of the Crystal Skull ,2008,PG-13,"$185,000,000.00","$317,011,114.00",Steven Spielberg,6.2
56,Brave ,2012,PG,"$185,000,000.00","$237,282,182.00",Mark Andrews,7.2
57,Star Trek Beyond ,2016,PG-13,"$185,000,000.00","$130,468,626.00",Justin Lin,7.5
58,WALL·E ,2008,G,"$180,000,000.00","$223,806,889.00",Andrew Stanton,8.4
59,Rush Hour 3 ,2007,PG-13,"$140,000,000.00","$140,080,850.00",Brett Ratner,6.2
60,2012 ,2009,PG-13,"$200,000,000.00","$166,112,167.00",Roland Emmerich,5.8
61,A Christmas Carol ,2009,PG,"$200,000,000.00","$137,850,096.00",Robert Zemeckis,6.8
62,Jupiter Ascending ,2015,PG-13,"$176,000,000.00","$47,375,327.00",Lana Wachowski,5.4
63,The Legend of Tarzan ,2016,PG-13,"$180,000,000.00","$124,051,759.00",David Yates,6.6
64,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",2005,PG,"$180,000,000.00","$291,709,845.00",Andrew Adamson,6.9
65,X-Men: Apocalypse ,2016,PG-13,"$178,000,000.00","$154,985,087.00",Bryan Singer,7.3
66,The Dark Knight ,2008,PG-13,"$185,000,000.00","$533,316,061.00",Christopher Nolan,9.0
67,Up ,2009,PG,"$175,000,000.00","$292,979,556.00",Pete Docter,8.3
68,Monsters vs. Aliens ,2009,PG,"$175,000,000.00","$198,332,128.00",Rob Letterman,6.5
69,Iron Man ,2008,PG-13,"$140,000,000.00","$318,298,180.00",Jon Favreau,7.9
70,Hugo ,2011,PG,"$170,000,000.00","$73,820,094.00",Martin Scorsese,7.5
71,Wild Wild West ,1999,PG-13,"$170,000,000.00","$113,745,408.00",Barry Sonnenfeld,4.8
72,The Mummy: Tomb of the Dragon Emperor ,2008,PG-13,"$145,000,000.00","$102,176,165.00",Rob Cohen,5.2
73,Suicide Squad ,2016,PG-13,"$175,000,000.00","$161,087,183.00",David Ayer,6.9
74,Evan Almighty ,2007,PG,"$175,000,000.00","$100,289,690.00",Tom Shadyac,5.4
75,Edge of Tomorrow ,2014,PG-13,"$178,000,000.00","$100,189,501.00",Doug Liman,7.9
76,Waterworld ,1995,PG-13,"$175,000,000.00","$88,246,220.00",Kevin Reynolds,6.1
77,G.I. Joe: The Rise of Cobra ,2009,PG-13,"$175,000,000.00","$150,167,630.00",Stephen Sommers,5.8
78,Inside Out ,2015,PG,"$175,000,000.00","$356,454,367.00",Pete Docter,8.3
80,Iron Man 2 ,2010,PG-13,"$200,000,000.00","$312,057,433.00",Jon Favreau,7.0
81,Snow White and the Huntsman ,2012,PG-13,"$170,000,000.00","$155,111,815.00",Rupert Sanders,6.1
82,Maleficent ,2014,PG,"$180,000,000.00","$241,407,328.00",Robert Stromberg,7.0
83,Dawn of the Planet of the Apes ,2014,PG-13,"$170,000,000.00","$208,543,795.00",Matt Reeves,7.6
85,47 Ronin ,2013,PG-13,"$175,000,000.00","$38,297,305.00",Carl Rinsch,6.3
86,Captain America: The Winter Soldier ,2014,PG-13,"$170,000,000.00","$259,746,958.00",Anthony Russo,7.8
87,Shrek Forever After ,2010,PG,"$165,000,000.00","$238,371,987.00",Mike Mitchell,6.4
88,Tomorrowland ,2015,PG,"$190,000,000.00","$93,417,865.00",Brad Bird,6.5
89,Big Hero 6 ,2014,PG,"$165,000,000.00","$222,487,711.00",Don Hall,7.9
90,Wreck-It Ralph ,2012,PG,"$165,000,000.00","$189,412,677.00",Rich Moore,7.8
91,The Polar Express ,2004,G,"$165,000,000.00","$665,426.00",Robert Zemeckis,6.6
92,Independence Day: Resurgence ,2016,PG-13,"$165,000,000.00","$102,315,545.00",Roland Emmerich,5.5
93,How to Train Your Dragon ,2010,PG,"$165,000,000.00","$217,387,997.00",Dean DeBlois,8.2
94,Terminator 3: Rise of the Machines ,2003,R,"$200,000,000.00","$150,350,192.00",Jonathan Mostow,6.4
95,Guardians of the Galaxy ,2014,PG-13,"$170,000,000.00","$333,130,696.00",James Gunn,8.1
96,Interstellar ,2014,PG-13,"$165,000,000.00","$187,991,439.00",Christopher Nolan,8.6
97,Inception ,2010,PG-13,"$160,000,000.00","$292,568,851.00",Christopher Nolan,8.8
99,The Hobbit: An Unexpected Journey ,2012,PG-13,"$180,000,000.00","$303,001,229.00",Peter Jackson,7.9
100,The Fast and the Furious ,2001,PG-13,"$38,000,000.00","$144,512,310.00",Rob Cohen,6.7
101,The Curious Case of Benjamin Button ,2008,PG-13,"$150,000,000.00","$127,490,802.00",David Fincher,7.8
102,X-Men: First Class ,2011,PG-13,"$160,000,000.00","$146,405,371.00",Matthew Vaughn,7.8
103,The Hunger Games: Mockingjay - Part 2 ,2015,PG-13,"$160,000,000.00","$281,666,058.00",Francis Lawrence,6.6
104,The Sorcerer's Apprentice ,2010,PG,"$150,000,000.00","$63,143,812.00",Jon Turteltaub,6.1
105,Poseidon ,2006,PG-13,"$160,000,000.00","$60,655,503.00",Wolfgang Petersen,5.6
106,Alice Through the Looking Glass ,2016,PG,"$170,000,000.00","$76,846,624.00",James Bobin,6.4
107,Shrek the Third ,2007,PG,"$160,000,000.00","$320,706,665.00",Chris Miller,6.1
108,Warcraft ,2016,PG-13,"$160,000,000.00","$46,978,995.00",Duncan Jones,7.3
109,Terminator Genisys ,2015,PG-13,"$155,000,000.00","$89,732,035.00",Alan Taylor,6.6
110,The Chronicles of Narnia: The Voyage of the Dawn Treader ,2010,PG,"$155,000,000.00","$104,383,624.00",Michael Apted,6.3
111,Pearl Harbor ,2001,PG-13,"$140,000,000.00","$198,539,855.00",Michael Bay,6.1
112,Transformers ,2007,PG-13,"$150,000,000.00","$318,759,914.00",Michael Bay,7.1
116,Hancock ,2008,PG-13,"$150,000,000.00","$227,946,274.00",Peter Berg,6.4
117,I Am Legend ,2007,PG-13,"$150,000,000.00","$256,386,216.00",Francis Lawrence,7.2
118,Charlie and the Chocolate Factory ,2005,PG,"$150,000,000.00","$206,456,431.00",Tim Burton,6.7
119,Ratatouille ,2007,G,"$150,000,000.00","$206,435,493.00",Brad Bird,8.0
120,Batman Begins ,2005,PG-13,"$150,000,000.00","$205,343,774.00",Christopher Nolan,8.3
121,Madagascar: Escape 2 Africa ,2008,PG,"$150,000,000.00","$179,982,968.00",Eric Darnell,6.7
122,Night at the Museum: Battle of the Smithsonian ,2009,PG,"$150,000,000.00","$177,243,721.00",Shawn Levy,5.9
123,X-Men Origins: Wolverine ,2009,PG-13,"$150,000,000.00","$179,883,016.00",Gavin Hood,6.7
125,Frozen ,2013,PG,"$150,000,000.00","$400,736,600.00",Chris Buck,7.6
126,The Matrix Reloaded ,2003,R,"$150,000,000.00","$281,492,479.00",Lana Wachowski,7.2
127,Thor: The Dark World ,2013,PG-13,"$170,000,000.00","$206,360,018.00",Alan Taylor,7.1
129,Angels & Demons ,2009,PG-13,"$150,000,000.00","$133,375,846.00",Ron Howard,6.7
130,Thor ,2011,PG-13,"$150,000,000.00","$181,015,141.00",Kenneth Branagh,7.0
131,Bolt ,2008,PG,"$150,000,000.00","$114,053,579.00",Byron Howard,6.9
132,G-Force ,2009,PG,"$150,000,000.00","$119,420,252.00",Hoyt Yeatman,5.1
133,Wrath of the Titans ,2012,PG-13,"$150,000,000.00","$83,640,426.00",Jonathan Liebesman,5.8
134,Dark Shadows ,2012,PG-13,"$100,000,000.00","$79,711,678.00",Tim Burton,6.2
136,The Wolfman ,2010,R,"$150,000,000.00","$61,937,495.00",Joe Johnston,5.8
137,The Legend of Tarzan ,2016,PG-13,"$180,000,000.00","$124,051,759.00",David Yates,6.6
138,Bee Movie ,2007,PG,"$150,000,000.00","$126,597,121.00",Steve Hickner,6.2
139,Kung Fu Panda 2 ,2011,PG,"$150,000,000.00","$165,230,261.00",Jennifer Yuh Nelson,7.3
140,The Last Airbender ,2010,PG,"$150,000,000.00","$131,564,731.00",M. Night Shyamalan,4.2
141,Mission: Impossible III ,2006,PG-13,"$150,000,000.00","$133,382,309.00",J.J. Abrams,6.9
142,White House Down ,2013,PG-13,"$150,000,000.00","$73,103,784.00",Roland Emmerich,6.4
143,Mars Needs Moms ,2011,PG,"$150,000,000.00","$21,379,315.00",Simon Wells,5.4
145,Pan ,2015,PG,"$150,000,000.00","$34,964,818.00",Joe Wright,5.8
146,Mr. Peabody & Sherman ,2014,PG,"$145,000,000.00","$111,505,642.00",Rob Minkoff,6.9
147,Troy ,2004,R,"$175,000,000.00","$133,228,348.00",Wolfgang Petersen,7.2
148,Madagascar 3: Europe's Most Wanted ,2012,PG,"$145,000,000.00","$216,366,733.00",Eric Darnell,6.9
150,Ghostbusters ,2016,PG-13,"$144,000,000.00","$118,099,659.00",Paul Feig,5.5
151,Armageddon ,1998,PG-13,"$140,000,000.00","$201,573,391.00",Michael Bay,6.6
152,Men in Black II ,2002,PG-13,"$140,000,000.00","$190,418,803.00",Barry Sonnenfeld,6.1
153,Beowulf ,2007,PG-13,"$150,000,000.00","$82,161,969.00",Robert Zemeckis,6.3
154,Kung Fu Panda 3 ,2016,PG,"$145,000,000.00","$143,523,463.00",Alessandro Carloni,7.2
155,Mission: Impossible - Ghost Protocol ,2011,PG-13,"$145,000,000.00","$209,364,921.00",Brad Bird,7.4
156,Rise of the Guardians ,2012,PG,"$145,000,000.00","$103,400,692.00",Peter Ramsey,7.3
157,Fun with Dick and Jane ,2005,PG-13,"$100,000,000.00","$110,332,737.00",Dean Parisot,6.1
158,The Last Samurai ,2003,R,"$140,000,000.00","$111,110,575.00",Edward Zwick,7.7
