,Movie Title,Year,Content Rating,Budget_ADJ,Gross_Income_ADJ,Director,IMDB Score
0,Avatar ,2009,PG-13,"$270,785,179.25","$868,918,616.45",James Cameron,7.9
1,Pirates of the Caribbean: At World's End ,2007,PG-13,"$354,660,416.12","$365,778,017.66",Gore Verbinski,7.1
2,Spectre ,2015,PG-13,"$253,375,918.18","$206,914,195.08",Sam Mendes,6.8
3,The Dark Knight Rises ,2012,PG-13,"$266,905,929.60","$478,434,902.34",Christopher Nolan,8.5
4,John Carter ,2012,PG-13,"$281,532,374.54","$77,999,178.53",Andrew Stanton,6.6
5,Spider-Man 3 ,2007,PG-13,"$305,007,957.87","$397,846,591.00",Sam Raimi,6.2
6,Tangled ,2010,PG,"$292,269,875.63","$225,730,436.50",Nathan Greno,7.8
7,Avengers: Age of Ultron ,2015,PG-13,"$258,546,855.29","$474,683,338.10",Joss Whedon,7.5
8,Harry Potter and the Half-Blood Prince ,2009,PG,"$285,638,374.73","$345,002,004.03",David Yates,7.5
9,Batman v Superman: Dawn of Justice ,2016,PG-13,"$255,325,886.33","$337,284,537.86",Zack Snyder,6.9
10,Superman Returns ,2006,PG-13,"$254,117,460.32","$243,258,994.49",Bryan Singer,6.1
11,Quantum of Solace ,2008,PG-13,"$227,697,709.74","$191,685,526.10",Marc Forster,6.7
12,Pirates of the Caribbean: Dead Man's Chest ,2006,PG-13,"$273,571,428.57","$514,353,957.22",Gore Verbinski,7.3
13,The Lone Ranger ,2013,PG-13,"$226,225,440.75","$93,951,856.95",Gore Verbinski,6.5
14,Man of Steel ,2013,PG-13,"$236,747,554.27","$306,216,194.46",Zack Snyder,7.2
15,The Chronicles of Narnia: Prince Caspian ,2008,PG,"$256,159,923.46","$161,225,943.52",Andrew Adamson,6.6
16,The Avengers ,2012,PG-13,"$234,877,218.05","$665,428,027.56",Joss Whedon,8.1
17,Pirates of the Caribbean: On Stranger Tides ,2011,PG-13,"$272,429,414.20","$262,691,561.00",Rob Marshall,6.7
18,Men in Black 3 ,2012,PG-13,"$240,215,336.64","$191,126,909.82",Barry Sonnenfeld,6.8
19,The Hobbit: The Battle of the Five Armies ,2014,PG-13,"$258,853,744.26","$264,143,027.06",Peter Jackson,7.5
20,The Amazing Spider-Man ,2012,PG-13,"$245,553,455.23","$279,750,150.76",Marc Webb,7.0
21,Robin Hood ,2010,PG-13,"$224,822,981.25","$118,279,072.55",Ridley Scott,6.7
22,The Hobbit: The Desolation of Smaug ,2013,PG-13,"$236,747,554.27","$271,844,436.41",Peter Jackson,7.9
23,The Golden Compass ,2007,PG-13,"$212,796,249.67","$82,852,833.37",Chris Weitz,6.1
24,King Kong ,2005,PG-13,"$259,804,608.29","$273,674,986.44",Peter Jackson,7.2
25,Titanic ,1997,PG-13,"$305,445,482.87","$1,005,942,396.67",James Cameron,7.7
26,Captain America: Civil War ,2016,PG-13,"$255,325,886.33","$415,872,027.75",Anthony Russo,8.2
27,Battleship ,2012,PG-13,"$223,133,357.14","$69,580,411.42",Peter Berg,5.9
28,Jurassic World ,2015,PG-13,"$155,128,113.17","$674,473,530.03",Colin Trevorrow,7.0
29,Skyfall ,2012,PG-13,"$213,524,743.68","$324,942,250.66",Sam Mendes,7.8
30,Spider-Man 2 ,2004,PG-13,"$259,523,557.44","$484,501,795.30",Sam Raimi,7.3
31,Iron Man 3 ,2013,PG-13,"$210,442,270.46","$430,346,311.61",Shane Black,7.2
32,Alice in Wonderland ,2010,PG,"$224,822,981.25","$375,662,571.52",Tim Burton,6.5
33,X-Men: The Last Stand ,2006,PG-13,"$255,333,333.33","$284,952,017.02",Brett Ratner,6.8
34,Monsters University ,2013,G,"$210,442,270.46","$282,506,467.74",Dan Scanlon,7.3
35,Transformers: Revenge of the Fallen ,2009,PG-13,"$228,510,699.79","$459,394,127.86",Michael Bay,6.0
36,Transformers: Age of Extinction ,2014,PG-13,"$217,437,145.17","$254,119,968.83",Michael Bay,5.7
37,Oz the Great and Powerful ,2013,PG,"$226,225,440.75","$247,167,683.26",Sam Raimi,6.4
38,The Amazing Spider-Man 2 ,2014,PG-13,"$207,082,995.40","$210,038,000.38",Marc Webb,6.7
39,TRON: Legacy ,2010,PG,"$191,099,534.06","$193,405,978.42",Joseph Kosinski,6.8
40,Cars 2 ,2011,G,"$217,943,531.36","$208,627,398.89",John Lasseter,6.3
41,Green Lantern ,2011,PG-13,"$217,943,531.36","$127,053,658.89",Martin Campbell,5.6
42,Toy Story 3 ,2010,G,"$224,822,981.25","$466,490,258.95",Lee Unkrich,8.3
43,Terminator Salvation ,2009,PG-13,"$228,510,699.79","$143,184,807.91",McG,6.6
44,Furious 7 ,2015,PG-13,"$196,495,610.02","$362,000,873.54",James Wan,7.2
45,World War Z ,2013,PG-13,"$199,920,156.94","$212,916,662.25",Marc Forster,7.0
46,X-Men: Days of Future Past ,2014,PG-13,"$207,082,995.40","$242,199,079.85",Bryan Singer,8.0
47,Star Trek Into Darkness ,2013,PG-13,"$199,920,156.94","$240,699,904.22",J.J. Abrams,7.8
48,Jack the Giant Slayer ,2013,PG-13,"$205,181,213.70","$68,574,570.94",Bryan Singer,6.3
49,The Great Gatsby ,2013,PG-13,"$110,482,191.99","$152,373,667.91",Baz Luhrmann,7.3
50,Prince of Persia: The Sands of Time ,2010,PG-13,"$224,822,981.25","$102,019,771.12",Mike Newell,6.6
51,Pacific Rim ,2013,PG-13,"$199,920,156.94","$107,099,839.66",Guillermo del Toro,7.0
52,Transformers: Dark of the Moon ,2011,PG-13,"$212,494,943.07","$383,971,583.00",Michael Bay,6.3
53,Indiana Jones and the Kingdom of the Crystal Skull ,2008,PG-13,"$210,620,381.51","$360,913,523.10",Steven Spielberg,6.2
54,Brave ,2012,PG,"$197,510,387.90","$253,328,085.45",Mark Andrews,7.2
55,Star Trek Beyond ,2016,PG-13,"$188,941,155.88","$133,248,070.29",Justin Lin,7.5
56,WALL·E ,2008,G,"$204,927,938.77","$254,801,580.25",Andrew Stanton,8.4
57,Rush Hour 3 ,2007,PG-13,"$165,508,194.19","$165,603,775.17",Brett Ratner,6.2
58,2012 ,2009,PG-13,"$228,510,699.79","$189,792,037.62",Roland Emmerich,5.8
59,A Christmas Carol ,2009,PG,"$228,510,699.79","$157,501,109.51",Robert Zemeckis,6.8
60,Jupiter Ascending ,2015,PG-13,"$182,016,986.12","$48,994,967.26",Lana Wachowski,5.4
61,The Legend of Tarzan ,2016,PG-13,"$183,834,638.16","$126,694,501.27",David Yates,6.6
62,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",2005,PG,"$225,917,050.69","$366,123,488.00",Andrew Adamson,6.9
63,X-Men: Apocalypse ,2016,PG-13,"$181,792,031.07","$158,286,818.82",Bryan Singer,7.3
64,The Dark Knight ,2008,PG-13,"$210,620,381.51","$607,174,228.28",Christopher Nolan,9.0
65,Up ,2009,PG,"$199,946,862.31","$334,744,816.82",Pete Docter,8.3
66,Monsters vs. Aliens ,2009,PG,"$199,946,862.31","$226,605,066.80",Rob Letterman,6.5
67,Iron Man ,2008,PG-13,"$159,388,396.82","$362,378,833.00",Jon Favreau,7.9
68,Hugo ,2011,PG,"$185,252,001.65","$80,443,059.86",Martin Scorsese,7.5
69,Wild Wild West ,1999,PG-13,"$250,122,448.98","$167,354,588.29",Barry Sonnenfeld,4.8
70,The Mummy: Tomb of the Dragon Emperor ,2008,PG-13,"$165,080,839.56","$116,326,393.80",Rob Cohen,5.2
71,Suicide Squad ,2016,PG-13,"$178,728,120.43","$164,518,911.10",David Ayer,6.9
72,Evan Almighty ,2007,PG,"$206,885,242.74","$118,562,610.63",Tom Shadyac,5.4
73,Edge of Tomorrow ,2014,PG-13,"$184,303,865.91","$103,737,709.88",Doug Liman,7.9
74,Waterworld ,1995,PG-13,"$281,469,816.27","$141,935,127.60",Kevin Reynolds,6.1
75,G.I. Joe: The Rise of Cobra ,2009,PG-13,"$199,946,862.31","$171,574,551.08",Stephen Sommers,5.8
76,Inside Out ,2015,PG,"$180,982,798.70","$368,640,622.57",Pete Docter,8.3
77,The Jungle Book ,2016,PG,"$178,728,120.43","$370,370,768.19",Jon Favreau,7.8
78,Iron Man 2 ,2010,PG-13,"$224,822,981.25","$350,788,412.05",Jon Favreau,7.0
79,Snow White and the Huntsman ,2012,PG-13,"$181,496,032.13","$165,601,052.70",Rupert Sanders,6.1
80,Maleficent ,2014,PG,"$186,374,695.86","$249,956,762.97",Robert Stromberg,7.0
81,Dawn of the Planet of the Apes ,2014,PG-13,"$176,020,546.09","$215,929,368.71",Matt Reeves,7.6
82,47 Ronin ,2013,PG-13,"$184,136,986.65","$40,296,859.08",Carl Rinsch,6.3
83,Captain America: The Winter Soldier ,2014,PG-13,"$176,020,546.09","$268,945,890.55",Anthony Russo,7.8
84,Shrek Forever After ,2010,PG,"$185,478,959.53","$267,957,503.82",Mike Mitchell,6.4
85,Tomorrowland ,2015,PG,"$196,495,610.02","$96,611,580.89",Brad Bird,6.5
86,Big Hero 6 ,2014,PG,"$170,843,471.21","$230,367,108.17",Don Hall,7.9
87,Wreck-It Ralph ,2012,PG,"$176,157,913.53","$202,221,466.53",Rich Moore,7.8
88,The Polar Express ,2004,G,"$214,106,934.89","$863,468.61",Robert Zemeckis,6.6
89,Independence Day: Resurgence ,2016,PG-13,"$168,515,084.98","$104,495,228.85",Roland Emmerich,5.5
90,How to Train Your Dragon ,2010,PG,"$185,478,959.53","$244,369,087.87",Dean DeBlois,8.2
91,Terminator 3: Rise of the Machines ,2003,R,"$266,434,782.61","$200,292,603.60",Jonathan Mostow,6.4
92,Guardians of the Galaxy ,2014,PG-13,"$176,020,546.09","$344,928,511.94",James Gunn,8.1
93,Interstellar ,2014,PG-13,"$170,843,471.21","$194,649,151.49",Christopher Nolan,8.6
94,Inception ,2010,PG-13,"$179,858,385.00","$328,881,006.52",Christopher Nolan,8.8
95,The Fast and the Furious ,2001,PG-13,"$52,594,918.13","$200,016,134.54",Rob Cohen,6.7
96,The Curious Case of Benjamin Button ,2008,PG-13,"$170,773,282.30","$145,146,818.14",David Fincher,7.8
97,X-Men: First Class ,2011,PG-13,"$174,354,825.09","$159,540,517.83",Matthew Vaughn,7.8
98,The Hunger Games: Mockingjay - Part 2 ,2015,PG-13,"$165,469,987.38","$291,295,494.15",Francis Lawrence,6.6
99,The Sorcerer's Apprentice ,2010,PG,"$168,617,235.94","$70,980,900.31",Jon Turteltaub,6.1
100,Poseidon ,2006,PG-13,"$194,539,682.54","$73,749,389.36",Wolfgang Petersen,5.6
101,Alice Through the Looking Glass ,2016,PG,"$173,621,602.70","$78,483,729.54",James Bobin,6.4
102,Shrek the Third ,2007,PG,"$189,152,221.93","$379,139,864.21",Chris Miller,6.1
103,Warcraft ,2016,PG-13,"$163,408,567.25","$47,979,814.15",Duncan Jones,7.3
104,Terminator Genisys ,2015,PG-13,"$160,299,050.28","$92,799,741.87",Alan Taylor,6.6
105,The Chronicles of Narnia: The Voyage of the Dawn Treader ,2010,PG,"$174,237,810.47","$117,339,187.71",Michael Apted,6.3
106,Pearl Harbor ,2001,PG-13,"$193,770,750.99","$274,794,405.75",Michael Bay,6.1
107,Transformers ,2007,PG-13,"$177,330,208.06","$376,838,412.48",Michael Bay,7.1
108,Alexander ,2004,R,"$201,130,757.01","$44,500,207.24",Oliver Stone,5.5
109,Harry Potter and the Order of the Phoenix ,2007,PG-13,"$177,330,208.06","$345,203,828.81",David Yates,7.5
110,Harry Potter and the Goblet of Fire ,2005,PG-13,"$188,264,208.91","$363,970,438.26",Mike Newell,7.6
