,Ceremony,Film,Award_Count,moviesearch
0,1,The Noose,0,thenoose
1,1,The Last Command,1,thelastcommand
2,1,A Ship Comes In,0,ashipcomesin
3,1,7th Heaven,3,7thheaven
4,1,Sadie Thompson,0,sadiethompson
5,1,Sunrise,3,sunrise
6,1,The Dove; Tempest,1,thedove;tempest
7,1,7th Heaven,3,7thheaven
8,1,The Devil Dancer; The Magic Flame; Sadie Thompson,0,thedevildancer;themagicflame;sadiethompson
9,1,Sunrise,3,sunrise
10,1,Sunrise,3,sunrise
11,1,Two Arabian Knights,1,twoarabianknights
12,1,Speedy,0,speedy
13,1,7th Heaven,3,7thheaven
14,1,Sorrell and Son,0,sorrellandson
15,1,The Crowd,0,thecrowd
16,1,,0,
17,1,Wings,2,wings
18,1,,0,
19,1,The Racket,0,theracket
20,1,7th Heaven,3,7thheaven
21,1,Wings,2,wings
22,1,Sunrise,3,sunrise
23,1,The Crowd,0,thecrowd
24,1,Chang,0,chang
25,1,The Jazz Singer,1,thejazzsinger
26,1,Glorious Betsy,0,gloriousbetsy
27,1,7th Heaven,3,7thheaven
28,1,The Last Command,1,thelastcommand
29,1,Underworld,1,underworld
30,1,The Private Life of Helen of Troy,0,theprivatelifeofhelenoftroy
31,1,,0,
32,1,,0,
33,1,The Jazz Singer,1,thejazzsinger
34,1,The Circus,1,thecircus
35,2,Thunderbolt,0,thunderbolt
36,2,In Old Arizona,1,inoldarizona
37,2,Alibi,0,alibi
38,2,The Valiant,0,thevaliant
39,2,The Patriot,1,thepatriot
40,2,Madame X,0,madamex
41,2,The Barker,0,thebarker
42,2,The Letter,0,theletter
43,2,The Divine Lady,1,thedivinelady
44,2,The Broadway Melody,1,thebroadwaymelody
45,2,Coquette,1,coquette
46,2,The Patriot,1,thepatriot
47,2,The Bridge of San Luis Rey,1,thebridgeofsanluisrey
48,2,Dynamite,0,dynamite
49,2,Alibi; and The Awakening,0,alibi;andtheawakening
50,2,Street Angel,0,streetangel
51,2,Our Dancing Daughters,0,ourdancingdaughters
52,2,White Shadows in the South Seas,1,whiteshadowsinthesouthseas
53,2,In Old Arizona,1,inoldarizona
54,2,Four Devils; and Street Angel,0,fourdevils;andstreetangel
55,2,The Divine Lady,1,thedivinelady
56,2,Madame X,0,madamex
57,2,The Broadway Melody,1,thebroadwaymelody
58,2,In Old Arizona,1,inoldarizona
59,2,The Divine Lady,1,thedivinelady
60,2,Drag; and Weary River,0,drag;andwearyriver
61,2,The Patriot,1,thepatriot
62,2,Alibi,0,alibi
63,2,In Old Arizona,1,inoldarizona
64,2,The Broadway Melody,1,thebroadwaymelody
65,2,Hollywood Revue,0,hollywoodrevue
66,2,The Patriot,1,thepatriot
67,2,In Old Arizona; and The Valiant,0,inoldarizona;andthevaliant
68,2,The Cop; The Leatherneck; Sal of Singapore; and Skyscraper,0,thecop;theleatherneck;salofsingapore;andskyscraper
69,2,The Last of Mrs. Cheyney,0,thelastofmrs.cheyney
70,2,The Patriot,1,thepatriot
71,2,Our Dancing Daughters,0,ourdancingdaughters
