Year,Ceremony,Award,Winner,Name,Film,Award_Count
1927/1928,1,Actor,,Richard Barthelmess,The Noose,0
1927/1928,1,Actor,1,Emil Jannings,The Last Command,1
1927/1928,1,Actress,,Louise Dresser,A Ship Comes In,0
1927/1928,1,Actress,1,Janet Gaynor,7th Heaven,3
1927/1928,1,Actress,,Gloria Swanson,Sadie Thompson,0
1927/1928,1,Art Direction,,Rochus Gliese,Sunrise,3
1927/1928,1,Art Direction,1,William Cameron Menzies,The Dove; Tempest,1
1927/1928,1,Art Direction,,Harry Oliver,7th Heaven,3
1927/1928,1,Cinematography,,George Barnes,The Devil Dancer; The Magic Flame; Sadie Thompson,0
1927/1928,1,Cinematography,1,Charles Rosher,Sunrise,3
1927/1928,1,Cinematography,1,Karl Struss,Sunrise,3
1927/1928,1,Directing (Comedy Picture),1,Lewis Milestone,Two Arabian Knights,1
1927/1928,1,Directing (Comedy Picture),,Ted Wilde,Speedy,0
1927/1928,1,Directing (Dramatic Picture),1,Frank Borzage,7th Heaven,3
1927/1928,1,Directing (Dramatic Picture),,Herbert Brenon,Sorrell and Son,0
1927/1928,1,Directing (Dramatic Picture),,King Vidor,The Crowd,0
1927/1928,1,Engineering Effects,,Ralph Hammeras,,0
1927/1928,1,Engineering Effects,1,Roy Pomeroy,Wings,2
1927/1928,1,Engineering Effects,,Nugent Slaughter,,0
1927/1928,1,Outstanding Picture,,The Caddo Company,The Racket,0
1927/1928,1,Outstanding Picture,,Fox,7th Heaven,3
1927/1928,1,Outstanding Picture,1,Paramount Famous Lasky,Wings,2
1927/1928,1,Unique and Artistic Picture,1,Fox,Sunrise,3
1927/1928,1,Unique and Artistic Picture,,Metro-Goldwyn-Mayer,The Crowd,0
1927/1928,1,Unique and Artistic Picture,,Paramount Famous Lasky,Chang,0
1927/1928,1,Writing (Adaptation),,Alfred Cohn,The Jazz Singer,1
1927/1928,1,Writing (Adaptation),,Anthony Coldeway,Glorious Betsy,0
1927/1928,1,Writing (Adaptation),1,Benjamin Glazer,7th Heaven,3
1927/1928,1,Writing (Original Story),,Lajos Biro,The Last Command,1
1927/1928,1,Writing (Original Story),1,Ben Hecht,Underworld,1
1927/1928,1,Writing (Title Writing),,Gerald Duffy,The Private Life of Helen of Troy,0
1927/1928,1,Writing (Title Writing),1,Joseph Farnham,,0
1927/1928,1,Writing (Title Writing),,"George Marion, Jr.",,0
1927/1928,1,Special Award,1,Warner Brothers,The Jazz Singer,1
1927/1928,1,Special Award,1,Charles Chaplin,The Circus,1
1928/1929,2,Actor,,George Bancroft,Thunderbolt,0
1928/1929,2,Actor,1,Warner Baxter,In Old Arizona,1
1928/1929,2,Actor,,Chester Morris,Alibi,0
1928/1929,2,Actor,,Paul Muni,The Valiant,0
1928/1929,2,Actor,,Lewis Stone,The Patriot,1
1928/1929,2,Actress,,Ruth Chatterton,Madame X,0
1928/1929,2,Actress,,Betty Compson,The Barker,0
1928/1929,2,Actress,,Jeanne Eagels,The Letter,0
1928/1929,2,Actress,,Corinne Griffith,The Divine Lady,1
1928/1929,2,Actress,,Bessie Love,The Broadway Melody,1
1928/1929,2,Actress,1,Mary Pickford,Coquette,1
1928/1929,2,Art Direction,,Hans Dreier,The Patriot,1
1928/1929,2,Art Direction,1,Cedric Gibbons,The Bridge of San Luis Rey,1
1928/1929,2,Art Direction,,Mitchell Leisen,Dynamite,0
1928/1929,2,Art Direction,,William Cameron Menzies,Alibi; and The Awakening,0
1928/1929,2,Art Direction,,Harry Oliver,Street Angel,0
1928/1929,2,Cinematography,,George Barnes,Our Dancing Daughters,0
1928/1929,2,Cinematography,1,Clyde De Vinna,White Shadows in the South Seas,1
1928/1929,2,Cinematography,,Arthur Edeson,In Old Arizona,1
1928/1929,2,Cinematography,,Ernest Palmer,Four Devils; and Street Angel,0
1928/1929,2,Cinematography,,John Seitz,The Divine Lady,1
1928/1929,2,Directing,,Lionel Barrymore,Madame X,0
1928/1929,2,Directing,,Harry Beaumont,The Broadway Melody,1
1928/1929,2,Directing,,Irving Cummings,In Old Arizona,1
1928/1929,2,Directing,1,Frank Lloyd,The Divine Lady,1
1928/1929,2,Directing,,Frank Lloyd,Drag; and Weary River,0
1928/1929,2,Directing,,Ernst Lubitsch,The Patriot,1
1928/1929,2,Outstanding Picture,,Feature Productions,Alibi,0
1928/1929,2,Outstanding Picture,,Fox,In Old Arizona,1
1928/1929,2,Outstanding Picture,1,Metro-Goldwyn-Mayer,The Broadway Melody,1
1928/1929,2,Outstanding Picture,,Metro-Goldwyn-Mayer,Hollywood Revue,0
1928/1929,2,Outstanding Picture,,Paramount Famous Lasky,The Patriot,1
1928/1929,2,Writing,,Tom Barry,In Old Arizona; and The Valiant,0
1928/1929,2,Writing,,Elliott Clawson,The Cop; The Leatherneck; Sal of Singapore; and Skyscraper,0
1928/1929,2,Writing,,Hans Kraly,The Last of Mrs. Cheyney,0
1928/1929,2,Writing,1,Hans Kraly,The Patriot,1
1928/1929,2,Writing,,Josephine Lovett,Our Dancing Daughters,0
1928/1929,2,Writing,,Bess Meredyth,A Woman of Affairs; and Wonder of Women,0
1929/1930,3,Actor,1,George Arliss,Disraeli,1
1929/1930,3,Actor,,George Arliss,The Green Goddess,0
1929/1930,3,Actor,,Wallace Beery,The Big House,0
1929/1930,3,Actor,,Maurice Chevalier,The Big Pond,0
1929/1930,3,Actor,,Ronald Colman,Bulldog Drummond,0
1929/1930,3,Actor,,Lawrence Tibbett,The Rogue Song,0
1929/1930,3,Actress,,Nancy Carroll,The Devil's Holiday,0
1929/1930,3,Actress,,Ruth Chatterton,Sarah and Son,0
1929/1930,3,Actress,,Greta Garbo,Anna Christie,0
1929/1930,3,Actress,1,Norma Shearer,The Divorcee,1
1929/1930,3,Actress,,Norma Shearer,Their Own Desire,0
1929/1930,3,Actress,,Gloria Swanson,The Trespasser,0
